id,file_path,coded_true_label,true_label,split,prediction,query_file_path
test_0001,data/raf-db/aligned/test_0001_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0001_aligned.jpg
test_0002,data/raf-db/aligned/test_0002_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0002_aligned.jpg
test_0003,data/raf-db/aligned/test_0003_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0003_aligned.jpg
test_0004,data/raf-db/aligned/test_0004_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0004_aligned.jpg
test_0005,data/raf-db/aligned/test_0005_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0005_aligned.jpg
test_0006,data/raf-db/aligned/test_0006_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0006_aligned.jpg
test_0007,data/raf-db/aligned/test_0007_aligned.jpg,3,disgust,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0007_aligned.jpg
test_0008,data/raf-db/aligned/test_0008_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0008_aligned.jpg
test_0009,data/raf-db/aligned/test_0009_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0009_aligned.jpg
test_0010,data/raf-db/aligned/test_0010_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0010_aligned.jpg
test_0011,data/raf-db/aligned/test_0011_aligned.jpg,3,disgust,test,disgust,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0011_aligned.jpg
test_0012,data/raf-db/aligned/test_0012_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0012_aligned.jpg
test_0013,data/raf-db/aligned/test_0013_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0013_aligned.jpg
test_0014,data/raf-db/aligned/test_0014_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0014_aligned.jpg
test_0015,data/raf-db/aligned/test_0015_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0015_aligned.jpg
test_0016,data/raf-db/aligned/test_0016_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0016_aligned.jpg
test_0017,data/raf-db/aligned/test_0017_aligned.jpg,6,angry,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0017_aligned.jpg
test_0018,data/raf-db/aligned/test_0018_aligned.jpg,3,disgust,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0018_aligned.jpg
test_0019,data/raf-db/aligned/test_0019_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0019_aligned.jpg
test_0020,data/raf-db/aligned/test_0020_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0020_aligned.jpg
test_0021,data/raf-db/aligned/test_0021_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0021_aligned.jpg
test_0022,data/raf-db/aligned/test_0022_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0022_aligned.jpg
test_0023,data/raf-db/aligned/test_0023_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0023_aligned.jpg
test_0024,data/raf-db/aligned/test_0024_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0024_aligned.jpg
test_0025,data/raf-db/aligned/test_0025_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0025_aligned.jpg
test_0026,data/raf-db/aligned/test_0026_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0026_aligned.jpg
test_0027,data/raf-db/aligned/test_0027_aligned.jpg,6,angry,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0027_aligned.jpg
test_0028,data/raf-db/aligned/test_0028_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0028_aligned.jpg
test_0029,data/raf-db/aligned/test_0029_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0029_aligned.jpg
test_0030,data/raf-db/aligned/test_0030_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0030_aligned.jpg
test_0031,data/raf-db/aligned/test_0031_aligned.jpg,5,sad,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0031_aligned.jpg
test_0032,data/raf-db/aligned/test_0032_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0032_aligned.jpg
test_0033,data/raf-db/aligned/test_0033_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0033_aligned.jpg
test_0034,data/raf-db/aligned/test_0034_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0034_aligned.jpg
test_0035,data/raf-db/aligned/test_0035_aligned.jpg,1,surprise,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0035_aligned.jpg
test_0036,data/raf-db/aligned/test_0036_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0036_aligned.jpg
test_0037,data/raf-db/aligned/test_0037_aligned.jpg,6,angry,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0037_aligned.jpg
test_0038,data/raf-db/aligned/test_0038_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0038_aligned.jpg
test_0039,data/raf-db/aligned/test_0039_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0039_aligned.jpg
test_0040,data/raf-db/aligned/test_0040_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0040_aligned.jpg
test_0041,data/raf-db/aligned/test_0041_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0041_aligned.jpg
test_0042,data/raf-db/aligned/test_0042_aligned.jpg,6,angry,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0042_aligned.jpg
test_0043,data/raf-db/aligned/test_0043_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0043_aligned.jpg
test_0044,data/raf-db/aligned/test_0044_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0044_aligned.jpg
test_0045,data/raf-db/aligned/test_0045_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0045_aligned.jpg
test_0046,data/raf-db/aligned/test_0046_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0046_aligned.jpg
test_0047,data/raf-db/aligned/test_0047_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0047_aligned.jpg
test_0048,data/raf-db/aligned/test_0048_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0048_aligned.jpg
test_0049,data/raf-db/aligned/test_0049_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0049_aligned.jpg
test_0050,data/raf-db/aligned/test_0050_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0050_aligned.jpg
test_0051,data/raf-db/aligned/test_0051_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0051_aligned.jpg
test_0052,data/raf-db/aligned/test_0052_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0052_aligned.jpg
test_0053,data/raf-db/aligned/test_0053_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0053_aligned.jpg
test_0054,data/raf-db/aligned/test_0054_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0054_aligned.jpg
test_0055,data/raf-db/aligned/test_0055_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0055_aligned.jpg
test_0056,data/raf-db/aligned/test_0056_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0056_aligned.jpg
test_0057,data/raf-db/aligned/test_0057_aligned.jpg,6,angry,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0057_aligned.jpg
test_0058,data/raf-db/aligned/test_0058_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0058_aligned.jpg
test_0059,data/raf-db/aligned/test_0059_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0059_aligned.jpg
test_0060,data/raf-db/aligned/test_0060_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0060_aligned.jpg
test_0061,data/raf-db/aligned/test_0061_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0061_aligned.jpg
test_0062,data/raf-db/aligned/test_0062_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0062_aligned.jpg
test_0063,data/raf-db/aligned/test_0063_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0063_aligned.jpg
test_0064,data/raf-db/aligned/test_0064_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0064_aligned.jpg
test_0065,data/raf-db/aligned/test_0065_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0065_aligned.jpg
test_0066,data/raf-db/aligned/test_0066_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0066_aligned.jpg
test_0067,data/raf-db/aligned/test_0067_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0067_aligned.jpg
test_0068,data/raf-db/aligned/test_0068_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0068_aligned.jpg
test_0069,data/raf-db/aligned/test_0069_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0069_aligned.jpg
test_0070,data/raf-db/aligned/test_0070_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0070_aligned.jpg
test_0071,data/raf-db/aligned/test_0071_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0071_aligned.jpg
test_0072,data/raf-db/aligned/test_0072_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0072_aligned.jpg
test_0073,data/raf-db/aligned/test_0073_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0073_aligned.jpg
test_0074,data/raf-db/aligned/test_0074_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0074_aligned.jpg
test_0075,data/raf-db/aligned/test_0075_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0075_aligned.jpg
test_0076,data/raf-db/aligned/test_0076_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0076_aligned.jpg
test_0077,data/raf-db/aligned/test_0077_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0077_aligned.jpg
test_0078,data/raf-db/aligned/test_0078_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0078_aligned.jpg
test_0079,data/raf-db/aligned/test_0079_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0079_aligned.jpg
test_0080,data/raf-db/aligned/test_0080_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0080_aligned.jpg
test_0081,data/raf-db/aligned/test_0081_aligned.jpg,3,disgust,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0081_aligned.jpg
test_0082,data/raf-db/aligned/test_0082_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0082_aligned.jpg
test_0083,data/raf-db/aligned/test_0083_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0083_aligned.jpg
test_0084,data/raf-db/aligned/test_0084_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0084_aligned.jpg
test_0085,data/raf-db/aligned/test_0085_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0085_aligned.jpg
test_0086,data/raf-db/aligned/test_0086_aligned.jpg,1,surprise,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0086_aligned.jpg
test_0087,data/raf-db/aligned/test_0087_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0087_aligned.jpg
test_0088,data/raf-db/aligned/test_0088_aligned.jpg,5,sad,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0088_aligned.jpg
test_0089,data/raf-db/aligned/test_0089_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0089_aligned.jpg
test_0090,data/raf-db/aligned/test_0090_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0090_aligned.jpg
test_0091,data/raf-db/aligned/test_0091_aligned.jpg,6,angry,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0091_aligned.jpg
test_0092,data/raf-db/aligned/test_0092_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0092_aligned.jpg
test_0093,data/raf-db/aligned/test_0093_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0093_aligned.jpg
test_0094,data/raf-db/aligned/test_0094_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0094_aligned.jpg
test_0095,data/raf-db/aligned/test_0095_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0095_aligned.jpg
test_0096,data/raf-db/aligned/test_0096_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0096_aligned.jpg
test_0097,data/raf-db/aligned/test_0097_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0097_aligned.jpg
test_0098,data/raf-db/aligned/test_0098_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0098_aligned.jpg
test_0099,data/raf-db/aligned/test_0099_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0099_aligned.jpg
test_0100,data/raf-db/aligned/test_0100_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0100_aligned.jpg
test_0101,data/raf-db/aligned/test_0101_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0101_aligned.jpg
test_0102,data/raf-db/aligned/test_0102_aligned.jpg,1,surprise,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0102_aligned.jpg
test_0103,data/raf-db/aligned/test_0103_aligned.jpg,5,sad,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0103_aligned.jpg
test_0104,data/raf-db/aligned/test_0104_aligned.jpg,1,surprise,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0104_aligned.jpg
test_0105,data/raf-db/aligned/test_0105_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0105_aligned.jpg
test_0106,data/raf-db/aligned/test_0106_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0106_aligned.jpg
test_0107,data/raf-db/aligned/test_0107_aligned.jpg,5,sad,test,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0107_aligned.jpg
test_0108,data/raf-db/aligned/test_0108_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0108_aligned.jpg
test_0109,data/raf-db/aligned/test_0109_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0109_aligned.jpg
test_0110,data/raf-db/aligned/test_0110_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0110_aligned.jpg
test_0111,data/raf-db/aligned/test_0111_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0111_aligned.jpg
test_0112,data/raf-db/aligned/test_0112_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0112_aligned.jpg
test_0113,data/raf-db/aligned/test_0113_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0113_aligned.jpg
test_0114,data/raf-db/aligned/test_0114_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0114_aligned.jpg
test_0115,data/raf-db/aligned/test_0115_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0115_aligned.jpg
test_0116,data/raf-db/aligned/test_0116_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0116_aligned.jpg
test_0117,data/raf-db/aligned/test_0117_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0117_aligned.jpg
test_0118,data/raf-db/aligned/test_0118_aligned.jpg,4,happy,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0118_aligned.jpg
test_0119,data/raf-db/aligned/test_0119_aligned.jpg,5,sad,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0119_aligned.jpg
test_0120,data/raf-db/aligned/test_0120_aligned.jpg,4,happy,test,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0120_aligned.jpg
test_0121,data/raf-db/aligned/test_0121_aligned.jpg,1,surprise,test,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0121_aligned.jpg
test_0122,data/raf-db/aligned/test_0122_aligned.jpg,4,happy,test,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0122_aligned.jpg
test_0123,data/raf-db/aligned/test_0123_aligned.jpg,1,surprise,test,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/raf-db/aligned/test_0123_aligned.jpg
